X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-73.987123,40.69299,0,0,43,15.2195285691576,2019/10/10 17:40:50+00,,,,,,,,,,,,,,,,,,,,,
-73.987156,40.692987,0,0,44,15.2522777928288,2019/10/10 17:40:51+00,,,,,,,,,,,,,,,,,,,,,
-73.987182,40.692989,0,0,45,15.2901843303575,2019/10/10 17:40:53+00,,,,,,,,,,,,,,,,,,,,,
-73.98721,40.692983,0,0,46,15.3300001938285,2019/10/10 17:40:55+00,,,,,,,,,,,,,,,,,,,,,
-73.987231,40.692969,0,0,47,15.3881583266667,2019/10/10 17:41:00+00,,,,,,,,,,,,,,,,,,,,,
-73.987257,40.692952,0,0,48,15.5007790637069,2019/10/10 17:41:03+00,,,,,,,,,,,,,,,,,,,,,
-73.987296,40.692944,0,0,49,15.6119656590533,2019/10/10 17:41:06+00,,,,,,,,,,,,,,,,,,,,,
-73.987331,40.692944,0,0,50,15.6928027582446,2019/10/10 17:41:08+00,,,,,,,,,,,,,,,,,,,,,
-73.987354,40.692956,0,0,51,15.7728934511664,2019/10/10 17:41:10+00,,,,,,,,,,,,,,,,,,,,,
-73.987384,40.692983,0,0,52,15.7886261513085,2019/10/10 17:41:12+00,,,,,,,,,,,,,,,,,,,,,
-73.987357,40.693003,0,0,53,15.7729575009845,2019/10/10 17:41:14+00,,,,,,,,,,,,,,,,,,,,,
-73.987349,40.693023,0,0,54,15.6302883976417,2019/10/10 17:41:16+00,,,,,,,,,,,,,,,,,,,,,
-73.987346,40.693057,0,0,55,15.60033175742,2019/10/10 17:41:18+00,,,,,,,,,,,,,,,,,,,,,
-73.987328,40.693069,0,0,56,15.5540179703587,2019/10/10 17:41:19+00,,,,,,,,,,,,,,,,,,,,,
-73.987305,40.693088,0,0,57,15.4901050517356,2019/10/10 17:41:20+00,,,,,,,,,,,,,,,,,,,,,
-73.987275,40.693114,0,0,58,15.3704592742417,2019/10/10 17:41:22+00,,,,,,,,,,,,,,,,,,,,,
-73.98727,40.693137,0,0,59,15.2718567715362,2019/10/10 17:41:26+00,,,,,,,,,,,,,,,,,,,,,
-73.987252,40.69316,0,0,60,15.2753427969046,2019/10/10 17:41:27+00,,,,,,,,,,,,,,,,,,,,,
-73.987232,40.693187,0,0,61,15.1831695351468,2019/10/10 17:41:29+00,,,,,,,,,,,,,,,,,,,,,
-73.987211,40.693202,0,0,62,15.107654067788,2019/10/10 17:41:31+00,,,,,,,,,,,,,,,,,,,,,
-73.987188,40.693219,0,0,63,15.1036929652384,2019/10/10 17:41:33+00,,,,,,,,,,,,,,,,,,,,,
-73.987183,40.693195,0,0,64,15.103652954102,2019/10/10 17:41:41+00,,,,,,,,,,,,,,,,,,,,,
-73.987168,40.693176,0,0,65,15.1036529541016,2019/10/10 17:41:44+00,,,,,,,,,,,,,,,,,,,,,
-73.987144,40.693172,0,0,66,15.1036529541016,2019/10/10 17:41:48+00,,,,,,,,,,,,,,,,,,,,,
-73.987168,40.693186,0,0,67,15.1036529541016,2019/10/10 17:41:53+00,,,,,,,,,,,,,,,,,,,,,
-73.987199,40.693188,0,0,68,15.1036529541016,2019/10/10 17:41:54+00,,,,,,,,,,,,,,,,,,,,,
-73.987226,40.693187,0,0,69,15.1036529541016,2019/10/10 17:41:59+00,,,,,,,,,,,,,,,,,,,,,
-73.987251,40.693188,0,0,70,15.1575879116058,2019/10/10 17:42:02+00,,,,,,,,,,,,,,,,,,,,,
