X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-73.986129,40.693849,,2019/10/17 15:24:56+00,,,11:24:56 AM,,17 Oct 2019 at 11:24:56 AM,,,,,,,,,,,,,,,,
-73.986108,40.694226,,2019/10/17 15:26:18+00,,,11:26:18 AM,,17 Oct 2019 at 11:26:18 AM,,,,,,,,,,,,,,,,
-73.985226,40.694211,,2019/10/17 15:27:42+00,,,11:27:42 AM,,17 Oct 2019 at 11:27:42 AM,,,,,,,,,,,,,,,,
-73.985225,40.693827,,2019/10/17 15:28:35+00,,,11:28:35 AM,,17 Oct 2019 at 11:28:35 AM,,,,,,,,,,,,,,,,
-73.985687,40.694176,,2019/10/17 15:29:41+00,,,11:29:41 AM,,17 Oct 2019 at 11:29:41 AM,,,,,,,,,,,,,,,,
-73.986129,40.693849,,2019/10/17 15:30:18+00,,,11:30:18 AM,,17 Oct 2019 at 11:30:18 AM,,,,,,,,,,,,,,,,
