X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-73.987405,40.69232,0,0,50,16.1035232543945,2019/10/15 14:23:30+00,,,,,,,,,,,,,,,,,,,,,
-73.987385,40.692307,0,0,51,16.1035232543945,2019/10/15 14:23:32+00,,,,,,,,,,,,,,,,,,,,,
-73.987339,40.692321,0,0,52,16.1035232543945,2019/10/15 14:23:35+00,,,,,,,,,,,,,,,,,,,,,
-73.987354,40.69232,0,0,53,16.1035232543945,2019/10/15 14:23:37+00,,,,,,,,,,,,,,,,,,,,,
-73.987362,40.692342,0,0,54,16.1035232543945,2019/10/15 14:23:43+00,,,,,,,,,,,,,,,,,,,,,
-73.987377,40.692362,0,0,55,16.1035232543945,2019/10/15 14:23:45+00,,,,,,,,,,,,,,,,,,,,,
-73.987398,40.692374,0,0,56,16.1035232543945,2019/10/15 14:23:47+00,,,,,,,,,,,,,,,,,,,,,
-73.987416,40.692397,0,0,57,16.1035232543945,2019/10/15 14:23:50+00,,,,,,,,,,,,,,,,,,,,,
-73.987431,40.692419,0,0,58,16.1035232543945,2019/10/15 14:23:52+00,,,,,,,,,,,,,,,,,,,,,
-73.987456,40.692443,0,0,59,16.1035232543945,2019/10/15 14:23:54+00,,,,,,,,,,,,,,,,,,,,,
-73.98747,40.692459,0,0,60,16.1035232543945,2019/10/15 14:23:56+00,,,,,,,,,,,,,,,,,,,,,
-73.987482,40.692481,0,0,61,16.1035232543945,2019/10/15 14:23:59+00,,,,,,,,,,,,,,,,,,,,,
-73.987482,40.692503,0,0,62,16.1035232543945,2019/10/15 14:24:02+00,,,,,,,,,,,,,,,,,,,,,
-73.987475,40.692526,0,0,63,16.1035232543945,2019/10/15 14:24:04+00,,,,,,,,,,,,,,,,,,,,,
-73.987484,40.692546,0,0,64,16.1035232543945,2019/10/15 14:24:10+00,,,,,,,,,,,,,,,,,,,,,
-73.987503,40.69256,0,0,65,16.1035232543945,2019/10/15 14:24:14+00,,,,,,,,,,,,,,,,,,,,,
-73.987513,40.692581,0,0,66,16.1035232543945,2019/10/15 14:24:18+00,,,,,,,,,,,,,,,,,,,,,
-73.987531,40.692617,0,0,67,16.1035232543945,2019/10/15 14:24:20+00,,,,,,,,,,,,,,,,,,,,,
-73.987536,40.692641,0,0,68,16.1035232543945,2019/10/15 14:24:23+00,,,,,,,,,,,,,,,,,,,,,
-73.987506,40.692678,0,0,69,16.1035232543945,2019/10/15 14:24:25+00,,,,,,,,,,,,,,,,,,,,,
-73.987493,40.692701,0,0,70,16.1035232543945,2019/10/15 14:24:26+00,,,,,,,,,,,,,,,,,,,,,
-73.987499,40.692728,0,0,71,16.1035232543945,2019/10/15 14:24:30+00,,,,,,,,,,,,,,,,,,,,,
-73.987509,40.692752,0,0,72,16.1035232543945,2019/10/15 14:24:32+00,,,,,,,,,,,,,,,,,,,,,
-73.987515,40.692786,0,0,73,16.1035232543945,2019/10/15 14:24:34+00,,,,,,,,,,,,,,,,,,,,,
-73.987513,40.692808,0,0,74,16.1035232543945,2019/10/15 14:24:35+00,,,,,,,,,,,,,,,,,,,,,
-73.987519,40.692829,0,0,75,16.1035232543945,2019/10/15 14:24:38+00,,,,,,,,,,,,,,,,,,,,,
-73.987527,40.692851,0,0,76,16.1035232543945,2019/10/15 14:24:40+00,,,,,,,,,,,,,,,,,,,,,
-73.987541,40.692867,0,0,77,16.1035232543945,2019/10/15 14:24:42+00,,,,,,,,,,,,,,,,,,,,,
-73.987541,40.692887,0,0,78,16.1035232543945,2019/10/15 14:24:44+00,,,,,,,,,,,,,,,,,,,,,
-73.987538,40.692918,0,0,79,16.1035232543945,2019/10/15 14:24:48+00,,,,,,,,,,,,,,,,,,,,,
-73.987534,40.692958,0,0,80,16.1035232543945,2019/10/15 14:24:50+00,,,,,,,,,,,,,,,,,,,,,
-73.98755,40.692986,0,0,81,16.1035232543945,2019/10/15 14:24:52+00,,,,,,,,,,,,,,,,,,,,,
-73.987557,40.693021,0,0,82,16.1035232543945,2019/10/15 14:24:54+00,,,,,,,,,,,,,,,,,,,,,
-73.987552,40.69304,0,0,83,16.1035232543945,2019/10/15 14:24:56+00,,,,,,,,,,,,,,,,,,,,,
-73.987558,40.693058,0,0,84,16.1035232543945,2019/10/15 14:24:59+00,,,,,,,,,,,,,,,,,,,,,
-73.987556,40.693089,0,0,85,16.1035232543945,2019/10/15 14:25:01+00,,,,,,,,,,,,,,,,,,,,,
-73.987554,40.693108,0,0,86,16.1035232543945,2019/10/15 14:25:02+00,,,,,,,,,,,,,,,,,,,,,
-73.987564,40.693137,0,0,87,16.1035232543945,2019/10/15 14:25:04+00,,,,,,,,,,,,,,,,,,,,,
-73.987572,40.693162,0,0,88,16.1035232543945,2019/10/15 14:25:06+00,,,,,,,,,,,,,,,,,,,,,
-73.98755,40.693179,0,0,89,16.1035232543945,2019/10/15 14:25:08+00,,,,,,,,,,,,,,,,,,,,,
-73.987545,40.693198,0,0,90,16.1035232543945,2019/10/15 14:25:10+00,,,,,,,,,,,,,,,,,,,,,
-73.98757,40.693209,0,0,91,16.1035232543945,2019/10/15 14:25:11+00,,,,,,,,,,,,,,,,,,,,,
-73.987575,40.693236,0,0,92,16.1035232543945,2019/10/15 14:25:13+00,,,,,,,,,,,,,,,,,,,,,
-73.987575,40.693263,0,0,93,16.1035232543945,2019/10/15 14:25:15+00,,,,,,,,,,,,,,,,,,,,,
-73.987584,40.693288,0,0,94,16.1035232543945,2019/10/15 14:25:17+00,,,,,,,,,,,,,,,,,,,,,
-73.987589,40.693311,0,0,95,16.1035232543945,2019/10/15 14:25:18+00,,,,,,,,,,,,,,,,,,,,,
-73.987599,40.693339,0,0,96,16.1035232543945,2019/10/15 14:25:20+00,,,,,,,,,,,,,,,,,,,,,
-73.987589,40.693363,0,0,97,16.1035232543945,2019/10/15 14:25:22+00,,,,,,,,,,,,,,,,,,,,,
-73.987612,40.693366,0,0,98,16.1035232543945,2019/10/15 14:25:28+00,,,,,,,,,,,,,,,,,,,,,
-73.987623,40.693385,0,0,99,16.1035232543945,2019/10/15 14:25:30+00,,,,,,,,,,,,,,,,,,,,,
-73.987628,40.693411,0,0,100,16.1035232543945,2019/10/15 14:25:32+00,,,,,,,,,,,,,,,,,,,,,
-73.98764,40.693441,0,0,101,16.1035232543945,2019/10/15 14:25:34+00,,,,,,,,,,,,,,,,,,,,,
-73.987641,40.693464,0,0,102,16.1035232543945,2019/10/15 14:25:35+00,,,,,,,,,,,,,,,,,,,,,
-73.987647,40.693488,0,0,103,16.1035232543945,2019/10/15 14:25:36+00,,,,,,,,,,,,,,,,,,,,,
-73.98763,40.693521,0,0,104,16.1035232543945,2019/10/15 14:25:37+00,,,,,,,,,,,,,,,,,,,,,
-73.987621,40.693543,0,0,105,16.1035232543945,2019/10/15 14:25:38+00,,,,,,,,,,,,,,,,,,,,,
-73.987602,40.69357,0,0,106,16.1035232543945,2019/10/15 14:25:39+00,,,,,,,,,,,,,,,,,,,,,
-73.98758,40.693599,0,0,107,16.1035232543945,2019/10/15 14:25:40+00,,,,,,,,,,,,,,,,,,,,,
-73.987561,40.693618,0,0,108,16.1035232543945,2019/10/15 14:25:41+00,,,,,,,,,,,,,,,,,,,,,
-73.98754,40.693637,0,0,109,16.0870128631592,2019/10/15 14:25:42+00,,,,,,,,,,,,,,,,,,,,,
-73.987521,40.693657,0,0,110,16.0034580955505,2019/10/15 14:25:44+00,,,,,,,,,,,,,,,,,,,,,
-73.987495,40.693684,0,0,111,15.9568279338837,2019/10/15 14:25:45+00,,,,,,,,,,,,,,,,,,,,,
-73.987475,40.693702,0,0,112,15.8403086478806,2019/10/15 14:25:46+00,,,,,,,,,,,,,,,,,,,,,
-73.98746,40.693717,0,0,113,15.726749942852,2019/10/15 14:25:47+00,,,,,,,,,,,,,,,,,,,,,
-73.987442,40.693739,0,0,114,15.6428242252422,2019/10/15 14:25:48+00,,,,,,,,,,,,,,,,,,,,,
-73.987423,40.693758,0,0,115,15.5424743704612,2019/10/15 14:25:49+00,,,,,,,,,,,,,,,,,,,,,
-73.98739,40.693785,0,0,116,15.4011000977085,2019/10/15 14:25:51+00,,,,,,,,,,,,,,,,,,,,,
-73.987365,40.693803,0,0,117,15.3367116867118,2019/10/15 14:25:52+00,,,,,,,,,,,,,,,,,,,,,
-73.987338,40.693815,0,0,118,15.2698497575384,2019/10/15 14:25:53+00,,,,,,,,,,,,,,,,,,,,,
-73.987311,40.693795,0,0,119,15.2008714292465,2019/10/15 14:25:55+00,,,,,,,,,,,,,,,,,,,,,
-73.98723,40.693779,0,0,120,15.2086598297099,2019/10/15 14:25:57+00,,,,,,,,,,,,,,,,,,,,,
-73.987167,40.693773,0,0,121,15.1136546486816,2019/10/15 14:25:59+00,,,,,,,,,,,,,,,,,,,,,
-73.98711,40.693771,0,0,122,15.0005542313477,2019/10/15 14:26:00+00,,,,,,,,,,,,,,,,,,,,,
-73.987081,40.693769,0,0,123,14.8849856523218,2019/10/15 14:26:01+00,,,,,,,,,,,,,,,,,,,,,
-73.987057,40.693765,0,0,124,14.8218891826028,2019/10/15 14:26:02+00,,,,,,,,,,,,,,,,,,,,,
-73.986957,40.693763,0,0,125,14.7394237448839,2019/10/15 14:26:04+00,,,,,,,,,,,,,,,,,,,,,
-73.986929,40.693762,0,0,126,14.5336319731971,2019/10/15 14:26:06+00,,,,,,,,,,,,,,,,,,,,,
-73.986901,40.693768,0,0,127,14.4510323769378,2019/10/15 14:26:10+00,,,,,,,,,,,,,,,,,,,,,
-73.986872,40.693771,0,0,128,14.3332070133751,2019/10/15 14:26:11+00,,,,,,,,,,,,,,,,,,,,,
-73.986841,40.693766,0,0,129,14.2280884826399,2019/10/15 14:26:13+00,,,,,,,,,,,,,,,,,,,,,
-73.986807,40.693769,0,0,130,14.1268481646421,2019/10/15 14:26:15+00,,,,,,,,,,,,,,,,,,,,,
-73.98678,40.693762,0,0,131,14.0515249196136,2019/10/15 14:26:16+00,,,,,,,,,,,,,,,,,,,,,
-73.98675,40.693757,0,0,132,13.9768901628598,2019/10/15 14:26:17+00,,,,,,,,,,,,,,,,,,,,,
-73.986679,40.69373,0,0,133,13.8889775828753,2019/10/15 14:26:18+00,,,,,,,,,,,,,,,,,,,,,
-73.986631,40.693711,0,0,134,13.7389862592641,2019/10/15 14:26:19+00,,,,,,,,,,,,,,,,,,,,,
